mid,team,date,event_onset_s,event_class,depth,init_primary,init_floor,init_question,leader,leader_primary,leader_floor,leader_question,week
2024.12.23startup_a,startup_a,20241223,3345.0,INTERIOR_OTHER,19.473581021807757,S2,S3,S4,S2,1,0,0.0,7
2024.12.23startup_a,startup_a,20241223,3394.0,TRANSITION,15.828550769954877,S3,S2,S2,S2,0,1,1.0,7
2024.12.23startup_a,startup_a,20241223,3479.0,INTERIOR_OTHER,17.821965744079076,S2,S1,S2,S2,1,0,1.0,7
2024.12.23startup_a,startup_a,20241223,3557.0,INTERIOR_HANDOFF,7.571524191547827,S1,S2,,S2,0,1,,7
2024.12.23startup_a,startup_a,20241223,3940.0,INTERIOR_OTHER,14.94380456404274,S2,S4,S4,S2,1,0,0.0,7
2024.12.23startup_a,startup_a,20241223,3982.0,INTERIOR_HANDOFF,12.794968109512329,S1,S1,,S2,0,0,,7
2024.12.23startup_a,startup_a,20241223,4301.0,TRANSITION,22.382068248527812,S1,S1,,S2,0,0,,7
2024.12.23startup_a,startup_a,20241223,4603.0,INTERIOR_OTHER,0.05621161603833613,S4,S4,S4,S2,0,0,0.0,7
2024.12.23startup_a,startup_a,20241223,5123.0,TRANSITION,16.282649378099567,S4,S3,S4,S2,0,0,0.0,7
2024.12.23startup_a,startup_a,20241223,5195.0,TRANSITION,5.61571291654926,S1,S3,,S2,0,0,,7
2024.12.23startup_a,startup_a,20241223,5260.0,TRANSITION,26.18388392090746,S1,S1,,S2,0,0,,7
2024.12.23startup_a,startup_a,20241223,5290.0,TRANSITION,22.265801658599084,S3,S3,,S2,0,0,,7
2025.01.06startup_a,startup_a,20250106,77.0,INTERIOR_OTHER,18.328472411035833,S2,S1,,S2,1,0,,8
2025.01.06startup_a,startup_a,20250106,459.0,INTERIOR_OTHER,6.731971357229405,S2,S1,S2,S2,1,0,1.0,8
2025.01.06startup_a,startup_a,20250106,611.0,INTERIOR_HANDOFF,31.334243055881572,S1,S2,S2,S2,0,1,1.0,8
2025.01.06startup_a,startup_a,20250106,677.0,TRANSITION,24.546847938025465,S1,S3,S1,S2,0,0,0.0,8
2025.01.06startup_a,startup_a,20250106,1134.0,TRANSITION,11.309467684853644,S3,S3,,S2,0,0,,8
2025.01.06startup_a,startup_a,20250106,1195.0,TRANSITION,18.733638334017982,S1,S1,S1,S2,0,0,0.0,8
2025.01.06startup_a,startup_a,20250106,1882.0,INTERIOR_OTHER,-6.857511815410646,S2,S2,,S2,1,1,,8
2025.01.06startup_a,startup_a,20250106,2017.0,TRANSITION,34.09758610291546,S2,S3,S2,S2,1,0,1.0,8
2025.01.06startup_a,startup_a,20250106,2088.0,INTERIOR_HANDOFF,25.37148252446049,S3,S1,S3,S2,0,0,0.0,8
2025.01.06startup_a,startup_a,20250106,2197.0,TRANSITION,9.458047395791084,S1,S3,S2,S2,0,0,1.0,8
2025.01.06startup_a,startup_a,20250106,2233.0,INTERIOR_HANDOFF,13.272321904193092,S1,S2,,S2,0,1,,8
2025.01.06startup_a,startup_a,20250106,2909.0,INTERIOR_OTHER,-10.504199547148218,S3,S3,,S2,0,0,,8
2025.01.06startup_a,startup_a,20250106,3527.0,TRANSITION,23.863343455339958,S2,S1,,S2,1,0,,8
2025.01.06startup_a,startup_a,20250106,3657.0,INTERIOR_OTHER,2.0851248444212445,S1,S2,S2,S2,0,1,1.0,8
2025.01.06startup_a,startup_a,20250106,4164.0,INTERIOR_OTHER,12.305684355258492,S2,S2,,S2,1,1,,8
